,periodStartUnix,liquidity,open,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken0,pool.totalValueLockedToken1,pool.token0.decimals,pool.token1.decimals
18734,1690243200,4.0189274455960504e+18,0.000541146,0.000541146,0.000541141,0.000541141,1.4234369247774567e+42,2.96282757142846e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18739,1690264800,4.0197709837649065e+18,0.000540078,0.000540078,0.000540069,0.000540069,1.4234370745553993e+42,2.962871723049944e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18740,1690268400,4.0203054731898414e+18,0.000540063,0.000540063,0.000540062,0.000540062,1.4234370745553993e+42,2.9628719629612383e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18741,1690272000,4.0202818795237443e+18,0.000540062,0.000540062,0.000540052,0.000540052,1.4234370745553993e+42,2.962872440808362e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18742,1690275600,4.019371849443355e+18,0.000540051,0.000540051,0.000538574,0.000538574,1.4234371044268243e+42,2.9628954927953256e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18743,1690279200,4.019371849443355e+18,0.000538572,0.000538572,0.000538553,0.000538553,1.4234371044268243e+42,2.962933756312387e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18744,1690282800,4.019371849443355e+18,0.000538553,0.000538553,0.000538553,0.000538553,1.4234371167723504e+42,2.962933767324782e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18745,1690286400,4.019363040038854e+18,0.000538553,0.000538561,0.000538553,0.000538555,1.4234373072590812e+42,2.962934052212956e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18746,1690290000,4.019363040038854e+18,0.000538555,0.000538561,0.000536814,0.000536814,1.4234374543805685e+42,2.962994780691943e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18747,1690293600,4.019363040038854e+18,0.00053681,0.000537551,0.000536795,0.000537548,1.4234541511618034e+42,2.9630065996150517e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18748,1690297200,4.019363040038854e+18,0.000537831,0.000537831,0.000537813,0.000537813,1.4234603910375606e+42,2.9630068263597885e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18749,1690300800,4.0197341584264346e+18,0.000537813,0.000537813,0.000537766,0.000537766,1.423460391291543e+42,2.96300907169182e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18750,1690304400,4.021923030187164e+18,0.000537766,0.000537937,0.000537766,0.000537911,1.423464245130497e+42,2.963010526560246e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18754,1690318800,4.026260621892381e+18,0.000537814,0.000537814,0.000537814,0.000537814,1.423464318730281e+42,2.963013828324375e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18755,1690322400,4.026260621892381e+18,0.000537833,0.000537855,0.000537823,0.000537823,1.4234652386101772e+42,2.9630152546867625e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
18756,1690326000,4.026260621892381e+18,0.000537821,0.000537821,0.000537821,0.000537821,1.4234652386101772e+42,2.9630160181024177e+33,133168868.13361084,43992.04298500219,63488988.72,18,6
